date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Telangana,Hyderabad,500059,389,496
01-03-2025,Telangana,Hyderabad,500005,334,405
01-03-2025,Telangana,Hyderabad,500056,129,116
01-03-2025,Telangana,Hyderabad,500036,232,373
01-03-2025,Telangana,Hyderabad,500002,175,251
01-03-2025,Telangana,Hyderabad,500018,188,246
01-03-2025,Telangana,Hyderabad,500023,233,324
01-03-2025,Telangana,Hyderabad,500042,53,55
01-03-2025,Telangana,Hyderabad,500064,313,461
01-03-2025,Telangana,Hyderabad,500004,186,200
01-03-2025,Telangana,Hyderabad,500044,123,203
01-04-2025,Telangana,Hyderabad,500072,193,199
01-04-2025,Telangana,Hyderabad,500038,105,81
01-04-2025,Telangana,Hyderabad,500015,158,182
01-04-2025,Telangana,Hyderabad,500005,270,418
01-04-2025,Telangana,Hyderabad,500004,167,190
01-05-2025,Telangana,Hyderabad,500096,72,43
01-05-2025,Telangana,Hyderabad,500053,479,618
01-05-2025,Telangana,Hyderabad,500024,200,267
01-05-2025,Telangana,Hyderabad,500095,17,24
01-03-2025,Telangana,Hyderabad,500040,140,142
01-03-2025,Telangana,Hyderabad,500009,129,147
01-03-2025,Telangana,Hyderabad,500096,56,77
01-04-2025,Telangana,Hyderabad,500028,424,400
01-04-2025,Telangana,Hyderabad,500024,156,270
01-04-2025,Telangana,Hyderabad,500067,85,41
01-04-2025,Telangana,Hyderabad,500011,208,219
01-04-2025,Telangana,Hyderabad,500040,132,132
01-04-2025,Telangana,Hyderabad,500091,24,14
01-04-2025,Telangana,Hyderabad,500049,107,90
01-04-2025,Telangana,Hyderabad,500036,204,386
01-05-2025,Telangana,Hyderabad,500062,274,181
01-05-2025,Telangana,Hyderabad,500016,138,101
01-05-2025,Telangana,Hyderabad,500038,77,89
01-05-2025,Telangana,Hyderabad,500081,11,10
01-05-2025,Telangana,Hyderabad,500034,193,164
01-05-2025,Telangana,Hyderabad,500027,159,179
01-05-2025,Telangana,Hyderabad,500080,127,118
01-05-2025,Telangana,Hyderabad,500031,10,12
01-05-2025,Telangana,Hyderabad,500094,84,114
01-05-2025,Telangana,Hyderabad,500036,269,342
01-05-2025,Telangana,Hyderabad,500020,394,343
01-05-2025,Telangana,Hyderabad,500002,219,271
19-10-2025,Telangana,Hyderabad,500025,1,1
19-10-2025,Telangana,Hyderabad,500042,5,1
26-10-2025,Telangana,Hyderabad,500082,3,2
26-10-2025,Telangana,Hyderabad,500088,1,0
31-10-2025,Telangana,Hyderabad,500014,1,0
31-10-2025,Telangana,Hyderabad,500063,1,0
31-10-2025,Telangana,Hyderabad,500069,1,0
02-11-2025,Telangana,Hyderabad,500069,1,0
02-11-2025,Telangana,Hyderabad,500087,2,1
02-11-2025,Telangana,Hyderabad,500091,5,1
05-11-2025,Telangana,Hyderabad,500087,0,1
14-12-2025,Telangana,Hyderabad,500091,0,1
16-12-2025,Telangana,Hyderabad,500014,1,0
24-12-2025,Telangana,Hyderabad,500093,0,1
25-12-2025,Telangana,Hyderabad,500001,3,13
25-12-2025,Telangana,Hyderabad,500044,0,10
25-12-2025,Telangana,Hyderabad,500055,0,1
25-12-2025,Telangana,Hyderabad,500057,0,6
25-12-2025,Telangana,Hyderabad,500058,2,5
25-12-2025,Telangana,Hyderabad,500078,0,1
25-12-2025,Telangana,Hyderabad,500082,0,3
25-12-2025,Telangana,Hyderabad,500094,0,4
26-12-2025,Telangana,Hyderabad,500031,0,1
18-12-2025,Telangana,Hyderabad,500087,0,3
17-12-2025,Telangana,Hyderabad,500095,0,2
02-12-2025,Telangana,Hyderabad,500041,1,0
02-12-2025,Telangana,Hyderabad,500087,3,0
25-12-2025,Telangana,Hyderabad,500069,2,0
25-12-2025,Telangana,Hyderabad,500087,1,0
25-12-2025,Telangana,Hyderabad,500091,1,1
27-12-2025,Telangana,Hyderabad,500007,5,2
27-12-2025,Telangana,Hyderabad,500011,24,10
27-12-2025,Telangana,Hyderabad,500024,34,13
27-12-2025,Telangana,Hyderabad,500026,9,4
27-12-2025,Telangana,Hyderabad,500027,19,10
27-12-2025,Telangana,Hyderabad,500028,111,25
27-12-2025,Telangana,Hyderabad,500034,30,11
27-12-2025,Telangana,Hyderabad,500040,9,7
27-12-2025,Telangana,Hyderabad,500047,0,1
27-12-2025,Telangana,Hyderabad,500057,1,2
27-12-2025,Telangana,Hyderabad,500064,67,34
27-12-2025,Telangana,Hyderabad,500072,21,7
27-12-2025,Telangana,Hyderabad,500082,9,3
28-12-2025,Telangana,Hyderabad,500007,0,2
28-12-2025,Telangana,Hyderabad,500018,10,3
28-12-2025,Telangana,Hyderabad,500033,3,5
28-12-2025,Telangana,Hyderabad,500036,15,9
28-12-2025,Telangana,Hyderabad,500040,4,2
28-12-2025,Telangana,Hyderabad,500042,3,0
28-12-2025,Telangana,Hyderabad,500058,1,0
28-12-2025,Telangana,Hyderabad,500062,5,6
28-12-2025,Telangana,Hyderabad,500065,13,7
28-12-2025,Telangana,Hyderabad,500081,1,1
28-12-2025,Telangana,Hyderabad,500094,1,0
29-12-2025,Telangana,Hyderabad,500004,16,5
29-12-2025,Telangana,Hyderabad,500006,35,10
29-12-2025,Telangana,Hyderabad,500017,6,6
29-12-2025,Telangana,Hyderabad,500023,29,8
29-12-2025,Telangana,Hyderabad,500024,14,4
29-12-2025,Telangana,Hyderabad,500026,12,3
29-12-2025,Telangana,Hyderabad,500059,24,22
29-12-2025,Telangana,Hyderabad,500081,0,2
29-12-2025,Telangana,Hyderabad,500085,1,0
29-12-2025,Telangana,Hyderabad,500091,0,1
29-12-2025,Telangana,Hyderabad,500094,5,5
29-12-2025,Telangana,Hyderabad,500096,3,2
21-12-2025,Telangana,Hyderabad,500010,1,3
21-12-2025,Telangana,Hyderabad,500078,0,1
21-12-2025,Telangana,Hyderabad,500091,0,1
20-12-2025,Telangana,Hyderabad,500103,1,0
20-12-2025,Telangana,Hyderabad,500110,0,1
13-12-2025,Telangana,Hyderabad,500085,1,0
14-12-2025,Telangana,Hyderabad,500004,2,2
14-12-2025,Telangana,Hyderabad,500017,3,6
14-12-2025,Telangana,Hyderabad,500018,1,11
14-12-2025,Telangana,Hyderabad,500024,0,2
14-12-2025,Telangana,Hyderabad,500026,2,9
14-12-2025,Telangana,Hyderabad,500029,0,3
14-12-2025,Telangana,Hyderabad,500034,1,5
14-12-2025,Telangana,Hyderabad,500038,0,2
14-12-2025,Telangana,Hyderabad,500040,0,1
14-12-2025,Telangana,Hyderabad,500056,0,2
03-01-2026,Telangana,Hyderabad,500009,3,1
03-01-2026,Telangana,Hyderabad,500018,9,7
03-01-2026,Telangana,Hyderabad,500023,19,10
03-01-2026,Telangana,Hyderabad,500024,1,4
03-01-2026,Telangana,Hyderabad,500028,29,6
03-01-2026,Telangana,Hyderabad,500033,2,1
03-01-2026,Telangana,Hyderabad,500045,9,4
03-01-2026,Telangana,Hyderabad,500082,4,4
03-01-2026,Telangana,Hyderabad,500094,1,0
02-01-2026,Telangana,Hyderabad,500002,26,20
02-01-2026,Telangana,Hyderabad,500006,43,24
02-01-2026,Telangana,Hyderabad,500012,17,12
02-01-2026,Telangana,Hyderabad,500016,13,9
02-01-2026,Telangana,Hyderabad,500017,17,7
02-01-2026,Telangana,Hyderabad,500028,49,33
02-01-2026,Telangana,Hyderabad,500033,3,2
02-01-2026,Telangana,Hyderabad,500034,10,9
02-01-2026,Telangana,Hyderabad,500055,3,2
02-01-2026,Telangana,Hyderabad,500095,1,3
01-01-2026,Telangana,Hyderabad,500001,57,25
01-01-2026,Telangana,Hyderabad,500004,34,20
01-01-2026,Telangana,Hyderabad,500008,143,66
01-01-2026,Telangana,Hyderabad,500018,54,23
01-01-2026,Telangana,Hyderabad,500020,51,21
01-01-2026,Telangana,Hyderabad,500033,6,7
01-01-2026,Telangana,Hyderabad,500049,22,9
01-01-2026,Telangana,Hyderabad,500054,26,15
01-01-2026,Telangana,Hyderabad,500057,15,6
01-01-2026,Telangana,Hyderabad,500059,90,46
01-01-2026,Telangana,Hyderabad,500062,14,19
23-12-2025,Telangana,Hyderabad,500110,0,1
07-12-2025,Telangana,Hyderabad,500014,0,1
07-12-2025,Telangana,Hyderabad,500055,0,1
09-12-2025,Telangana,Hyderabad,500069,0,1
09-12-2025,Telangana,Hyderabad,500078,0,1
21-11-2025,Telangana,Hyderabad,500088,0,2
13-11-2025,Telangana,Hyderabad,500042,2,4
12-11-2025,Telangana,Hyderabad,500088,0,1
14-11-2025,Telangana,Hyderabad,500014,0,1
16-11-2025,Telangana,Hyderabad,500007,2,2
16-11-2025,Telangana,Hyderabad,500055,0,1
16-11-2025,Telangana,Hyderabad,500062,1,0
16-11-2025,Telangana,Hyderabad,500065,1,3
16-11-2025,Telangana,Hyderabad,500088,1,1
27-11-2025,Telangana,Hyderabad,500069,0,1
30-11-2025,Telangana,Hyderabad,500002,3,5
30-11-2025,Telangana,Hyderabad,500015,1,8
30-11-2025,Telangana,Hyderabad,500025,0,1
30-11-2025,Telangana,Hyderabad,500038,0,3
30-11-2025,Telangana,Hyderabad,500049,0,1
30-11-2025,Telangana,Hyderabad,500055,1,2
30-11-2025,Telangana,Hyderabad,500067,0,5
30-11-2025,Telangana,Hyderabad,500081,1,2
30-11-2025,Telangana,Hyderabad,500091,0,1
24-11-2025,Telangana,Hyderabad,500055,0,1
24-11-2025,Telangana,Hyderabad,500063,0,1
01-12-2025,Telangana,Hyderabad,500078,1,1
23-11-2025,Telangana,Hyderabad,500004,0,3
23-11-2025,Telangana,Hyderabad,500010,1,2
23-11-2025,Telangana,Hyderabad,500040,0,1
22-11-2025,Telangana,Hyderabad,500088,0,2
26-11-2025,Telangana,Hyderabad,500031,0,2
26-11-2025,Telangana,Hyderabad,500091,0,2
25-11-2025,Telangana,Hyderabad,500085,0,1
17-11-2025,Telangana,Hyderabad,500043,0,2
10-11-2025,Telangana,Hyderabad,500078,1,3
09-11-2025,Telangana,Hyderabad,500015,2,8
09-11-2025,Telangana,Hyderabad,500018,1,6
09-11-2025,Telangana,Hyderabad,500045,2,7
09-11-2025,Telangana,Hyderabad,500056,1,2
09-11-2025,Telangana,Hyderabad,500078,0,1
02-11-2025,Telangana,Hyderabad,500004,0,3
02-11-2025,Telangana,Hyderabad,500010,1,3
02-11-2025,Telangana,Hyderabad,500025,0,1
02-11-2025,Telangana,Hyderabad,500031,0,1
02-11-2025,Telangana,Hyderabad,500038,0,3
02-11-2025,Telangana,Hyderabad,500047,0,2
01-11-2025,Telangana,Hyderabad,500088,0,1
30-10-2025,Telangana,Hyderabad,500031,0,1
06-11-2025,Telangana,Hyderabad,500087,2,1
05-11-2025,Telangana,Hyderabad,500007,0,5
29-10-2025,Telangana,Hyderabad,500063,0,1
24-10-2025,Telangana,Hyderabad,500085,0,1
26-10-2025,Telangana,Hyderabad,500009,0,4
26-10-2025,Telangana,Hyderabad,500018,3,12
26-10-2025,Telangana,Hyderabad,500045,0,5
26-10-2025,Telangana,Hyderabad,500056,0,1
25-09-2025,Telangana,Hyderabad,500055,0,3
26-09-2025,Telangana,Hyderabad,500063,0,1
26-09-2025,Telangana,Hyderabad,500081,0,3
26-09-2025,Telangana,Hyderabad,500095,0,1
18-09-2025,Telangana,Hyderabad,500088,0,1
01-10-2025,Telangana,Hyderabad,500088,0,2
02-10-2025,Telangana,Hyderabad,500004,1,2
02-10-2025,Telangana,Hyderabad,500006,2,11
02-10-2025,Telangana,Hyderabad,500011,0,1
02-10-2025,Telangana,Hyderabad,500012,0,2
02-10-2025,Telangana,Hyderabad,500013,0,2
02-10-2025,Telangana,Hyderabad,500017,0,6
02-10-2025,Telangana,Hyderabad,500038,0,5
02-10-2025,Telangana,Hyderabad,500050,0,2
02-10-2025,Telangana,Hyderabad,500054,2,1
02-10-2025,Telangana,Hyderabad,500073,0,2
29-09-2025,Telangana,Hyderabad,500043,0,1
19-09-2025,Telangana,Hyderabad,500025,0,4
19-09-2025,Telangana,Hyderabad,500063,0,1
19-09-2025,Telangana,Hyderabad,500078,0,1
08-09-2025,Telangana,Hyderabad,500063,0,1
11-09-2025,Telangana,Hyderabad,500031,1,0
09-09-2025,Telangana,Hyderabad,500088,0,4
12-09-2025,Telangana,Hyderabad,500063,0,2
06-10-2025,Telangana,Hyderabad,500063,0,2
06-10-2025,Telangana,Hyderabad,500078,0,1
06-10-2025,Telangana,Hyderabad,500088,0,1
12-10-2025,Telangana,Hyderabad,500045,0,9
11-10-2025,Telangana,Hyderabad,500089,0,1
10-10-2025,Telangana,Hyderabad,500041,0,1
04-09-2025,Telangana,Hyderabad,500081,0,5
05-09-2025,Telangana,Hyderabad,500003,0,6
05-09-2025,Telangana,Hyderabad,500050,0,1
05-09-2025,Telangana,Hyderabad,500073,2,3
06-09-2025,Telangana,Hyderabad,500006,0,11
07-09-2025,Telangana,Hyderabad,500012,0,1
07-09-2025,Telangana,Hyderabad,500025,0,3
07-09-2025,Telangana,Hyderabad,500033,0,3
07-09-2025,Telangana,Hyderabad,500094,2,1
16-10-2025,Telangana,Hyderabad,500031,0,1
20-10-2025,Telangana,Hyderabad,500005,1,25
20-10-2025,Telangana,Hyderabad,500012,0,2
20-10-2025,Telangana,Hyderabad,500016,0,3
20-10-2025,Telangana,Hyderabad,500018,4,8
20-10-2025,Telangana,Hyderabad,500020,4,9
20-10-2025,Telangana,Hyderabad,500029,1,1
20-10-2025,Telangana,Hyderabad,500059,1,8
21-10-2025,Telangana,Hyderabad,500081,0,1
19-10-2025,Telangana,Hyderabad,500004,0,3
19-10-2025,Telangana,Hyderabad,500016,0,3
19-10-2025,Telangana,Hyderabad,500038,0,2
19-10-2025,Telangana,Hyderabad,500056,0,1
19-10-2025,Telangana,Hyderabad,500058,0,2
19-10-2025,Telangana,Hyderabad,500081,0,2
19-10-2025,Telangana,Hyderabad,500085,0,1
19-10-2025,Telangana,Hyderabad,500096,0,1
18-10-2025,Telangana,Hyderabad,500063,0,1
22-10-2025,Telangana,Hyderabad,500043,0,1
09-10-2025,Telangana,Hyderabad,500088,0,1
05-10-2025,Telangana,Hyderabad,500094,1,1
28-09-2025,Telangana,Hyderabad,500015,1,4
28-09-2025,Telangana,Hyderabad,500025,1,0
28-09-2025,Telangana,Hyderabad,500028,1,13
28-09-2025,Telangana,Hyderabad,500056,0,1
28-09-2025,Telangana,Hyderabad,500081,0,1
28-09-2025,Telangana,Hyderabad,500091,0,1
21-09-2025,Telangana,Hyderabad,500018,2,15
21-09-2025,Telangana,Hyderabad,500038,0,2
21-09-2025,Telangana,Hyderabad,500065,0,2
21-09-2025,Telangana,Hyderabad,500080,2,4
14-09-2025,Telangana,Hyderabad,500004,0,3
14-09-2025,Telangana,Hyderabad,500010,1,3
14-09-2025,Telangana,Hyderabad,500094,0,3
16-09-2025,Telangana,Hyderabad,500041,1,0
16-09-2025,Telangana,Hyderabad,500063,0,1
31-08-2025,Telangana,Hyderabad,500016,0,3
31-08-2025,Telangana,Hyderabad,500038,0,1
