date,state,district,pincode,demo_age_5_17,demo_age_17_
16-10-2025,Telangana,Hyderabad,500002,3,35
16-10-2025,Telangana,Hyderabad,500005,8,50
16-10-2025,Telangana,Hyderabad,500007,1,5
16-10-2025,Telangana,Hyderabad,500010,6,8
16-10-2025,Telangana,Hyderabad,500013,8,39
16-10-2025,Telangana,Hyderabad,500023,3,39
16-10-2025,Telangana,Hyderabad,500025,0,7
16-10-2025,Telangana,Hyderabad,500040,4,7
16-10-2025,Telangana,Hyderabad,500042,1,4
16-10-2025,Telangana,Hyderabad,500058,4,12
16-10-2025,Telangana,Hyderabad,500062,1,4
17-10-2025,Telangana,Hyderabad,500005,6,33
17-10-2025,Telangana,Hyderabad,500008,8,72
17-10-2025,Telangana,Hyderabad,500009,0,6
17-10-2025,Telangana,Hyderabad,500025,2,5
17-10-2025,Telangana,Hyderabad,500031,1,1
17-10-2025,Telangana,Hyderabad,500036,4,19
17-10-2025,Telangana,Hyderabad,500040,0,7
17-10-2025,Telangana,Hyderabad,500044,3,10
17-10-2025,Telangana,Hyderabad,500067,1,5
18-10-2025,Telangana,Hyderabad,500006,13,37
18-10-2025,Telangana,Hyderabad,500009,1,12
18-10-2025,Telangana,Hyderabad,500011,1,16
18-10-2025,Telangana,Hyderabad,500018,7,43
18-10-2025,Telangana,Hyderabad,500028,6,30
18-10-2025,Telangana,Hyderabad,500031,0,1
18-10-2025,Telangana,Hyderabad,500033,3,6
18-10-2025,Telangana,Hyderabad,500053,18,61
18-10-2025,Telangana,Hyderabad,500057,0,4
18-10-2025,Telangana,Hyderabad,500062,1,8
18-10-2025,Telangana,Hyderabad,500065,1,11
18-10-2025,Telangana,Hyderabad,500072,3,9
18-10-2025,Telangana,Hyderabad,500082,0,5
19-10-2025,Telangana,Hyderabad,500004,7,22
19-10-2025,Telangana,Hyderabad,500012,0,13
19-10-2025,Telangana,Hyderabad,500013,13,56
19-10-2025,Telangana,Hyderabad,500016,2,11
19-10-2025,Telangana,Hyderabad,500023,6,37
19-10-2025,Telangana,Hyderabad,500025,1,3
19-10-2025,Telangana,Hyderabad,500026,4,13
19-10-2025,Telangana,Hyderabad,500038,3,8
19-10-2025,Telangana,Hyderabad,500042,7,8
19-10-2025,Telangana,Hyderabad,500054,5,16
19-10-2025,Telangana,Hyderabad,500056,3,2
19-10-2025,Telangana,Hyderabad,500058,4,13
19-10-2025,Telangana,Hyderabad,500081,1,5
19-10-2025,Telangana,Hyderabad,500085,0,2
19-10-2025,Telangana,Hyderabad,500096,0,10
25-10-2025,Telangana,Hyderabad,500004,4,14
25-10-2025,Telangana,Hyderabad,500006,1,38
25-10-2025,Telangana,Hyderabad,500007,0,4
25-10-2025,Telangana,Hyderabad,500017,4,19
25-10-2025,Telangana,Hyderabad,500028,7,50
25-10-2025,Telangana,Hyderabad,500031,0,3
25-10-2025,Telangana,Hyderabad,500036,3,30
25-10-2025,Telangana,Hyderabad,500044,3,16
25-10-2025,Telangana,Hyderabad,500050,1,6
25-10-2025,Telangana,Hyderabad,500056,0,6
25-10-2025,Telangana,Hyderabad,500061,3,14
25-10-2025,Telangana,Hyderabad,500062,0,13
25-10-2025,Telangana,Hyderabad,500065,3,12
25-10-2025,Telangana,Hyderabad,500067,0,3
25-10-2025,Telangana,Hyderabad,500080,1,9
27-10-2025,Telangana,Hyderabad,500005,13,52
27-10-2025,Telangana,Hyderabad,500008,13,67
27-10-2025,Telangana,Hyderabad,500012,3,5
27-10-2025,Telangana,Hyderabad,500015,3,16
27-10-2025,Telangana,Hyderabad,500033,0,10
27-10-2025,Telangana,Hyderabad,500040,1,6
27-10-2025,Telangana,Hyderabad,500044,2,20
27-10-2025,Telangana,Hyderabad,500050,2,3
27-10-2025,Telangana,Hyderabad,500061,3,24
27-10-2025,Telangana,Hyderabad,500065,1,6
02-11-2025,Telangana,Hyderabad,500072,4,3
02-11-2025,Telangana,Hyderabad,500088,1,0
26-10-2025,Telangana,Hyderabad,500009,2,13
26-10-2025,Telangana,Hyderabad,500013,10,43
26-10-2025,Telangana,Hyderabad,500018,9,48
26-10-2025,Telangana,Hyderabad,500020,7,30
26-10-2025,Telangana,Hyderabad,500036,4,28
26-10-2025,Telangana,Hyderabad,500045,8,33
26-10-2025,Telangana,Hyderabad,500053,20,106
26-10-2025,Telangana,Hyderabad,500056,0,9
26-10-2025,Telangana,Hyderabad,500057,1,8
26-10-2025,Telangana,Hyderabad,500059,10,67
26-10-2025,Telangana,Hyderabad,500064,8,63
26-10-2025,Telangana,Hyderabad,500082,2,12
26-10-2025,Telangana,Hyderabad,500088,0,1
20-10-2025,Telangana,Hyderabad,500002,3,16
20-10-2025,Telangana,Hyderabad,500005,6,37
20-10-2025,Telangana,Hyderabad,500009,0,6
20-10-2025,Telangana,Hyderabad,500012,1,7
20-10-2025,Telangana,Hyderabad,500016,1,6
20-10-2025,Telangana,Hyderabad,500018,7,16
20-10-2025,Telangana,Hyderabad,500020,4,17
20-10-2025,Telangana,Hyderabad,500026,1,3
20-10-2025,Telangana,Hyderabad,500029,0,13
20-10-2025,Telangana,Hyderabad,500050,0,0
20-10-2025,Telangana,Hyderabad,500056,1,2
20-10-2025,Telangana,Hyderabad,500059,4,32
20-10-2025,Telangana,Hyderabad,500062,2,3
20-10-2025,Telangana,Hyderabad,500063,0,1
21-10-2025,Telangana,Hyderabad,500008,2,11
21-10-2025,Telangana,Hyderabad,500018,1,7
21-10-2025,Telangana,Hyderabad,500025,0,1
21-10-2025,Telangana,Hyderabad,500038,0,3
21-10-2025,Telangana,Hyderabad,500049,4,1
21-10-2025,Telangana,Hyderabad,500053,2,13
21-10-2025,Telangana,Hyderabad,500059,1,7
22-10-2025,Telangana,Hyderabad,500002,0,3
22-10-2025,Telangana,Hyderabad,500007,0,1
22-10-2025,Telangana,Hyderabad,500008,0,1
22-10-2025,Telangana,Hyderabad,500015,0,2
22-10-2025,Telangana,Hyderabad,500065,0,1
23-10-2025,Telangana,Hyderabad,500002,1,3
23-10-2025,Telangana,Hyderabad,500003,0,1
23-10-2025,Telangana,Hyderabad,500004,0,2
23-10-2025,Telangana,Hyderabad,500013,1,5
23-10-2025,Telangana,Hyderabad,500020,0,1
23-10-2025,Telangana,Hyderabad,500029,0,1
23-10-2025,Telangana,Hyderabad,500036,0,3
23-10-2025,Telangana,Hyderabad,500054,0,1
24-10-2025,Telangana,Hyderabad,500009,3,16
24-10-2025,Telangana,Hyderabad,500012,2,11
24-10-2025,Telangana,Hyderabad,500015,4,25
24-10-2025,Telangana,Hyderabad,500024,4,25
24-10-2025,Telangana,Hyderabad,500025,2,2
24-10-2025,Telangana,Hyderabad,500049,2,8
24-10-2025,Telangana,Hyderabad,500050,0,2
24-10-2025,Telangana,Hyderabad,500061,7,25
24-10-2025,Telangana,Hyderabad,500064,7,58
24-10-2025,Telangana,Hyderabad,500067,1,5
24-10-2025,Telangana,Hyderabad,500085,1,1
24-10-2025,Telangana,Hyderabad,500091,0,1
24-10-2025,Telangana,Hyderabad,500094,3,16
28-10-2025,Telangana,Hyderabad,500002,7,28
28-10-2025,Telangana,Hyderabad,500003,9,35
28-10-2025,Telangana,Hyderabad,500004,1,27
28-10-2025,Telangana,Hyderabad,500010,7,14
28-10-2025,Telangana,Hyderabad,500018,7,48
28-10-2025,Telangana,Hyderabad,500023,4,51
28-10-2025,Telangana,Hyderabad,500040,2,11
28-10-2025,Telangana,Hyderabad,500049,2,6
28-10-2025,Telangana,Hyderabad,500055,1,1
28-10-2025,Telangana,Hyderabad,500056,4,6
28-10-2025,Telangana,Hyderabad,500061,3,26
28-10-2025,Telangana,Hyderabad,500065,6,19
28-10-2025,Telangana,Hyderabad,500067,0,8
28-10-2025,Telangana,Hyderabad,500093,1,0
28-10-2025,Telangana,Hyderabad,500094,7,17
28-10-2025,Telangana,Hyderabad,500096,4,9
31-10-2025,Telangana,Hyderabad,500043,0,1
04-11-2025,Telangana,Hyderabad,500088,0,1
06-11-2025,Telangana,Hyderabad,500047,0,2
10-11-2025,Telangana,Hyderabad,500103,0,1
09-11-2025,Telangana,Hyderabad,500050,1,1
09-11-2025,Telangana,Hyderabad,500055,0,3
09-11-2025,Telangana,Hyderabad,500072,7,2
09-11-2025,Telangana,Hyderabad,500087,1,0
16-11-2025,Telangana,Hyderabad,500095,0,1
15-11-2025,Telangana,Hyderabad,500078,0,2
19-11-2025,Telangana,Hyderabad,500050,0,2
19-11-2025,Telangana,Hyderabad,500063,0,1
