date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-06-2025,Telangana,Hyderabad,500028,295,178,11
01-07-2025,Telangana,Hyderabad,500013,492,126,11
01-07-2025,Telangana,Hyderabad,500001,253,132,23
01-07-2025,Telangana,Hyderabad,500029,98,51,14
01-07-2025,Telangana,Hyderabad,500032,92,53,20
01-04-2025,Telangana,Hyderabad,500059,160,22,10
03-09-2025,Telangana,Hyderabad,500007,1,0,0
03-09-2025,Telangana,Hyderabad,500010,0,1,0
03-09-2025,Telangana,Hyderabad,500011,2,0,0
03-09-2025,Telangana,Hyderabad,500012,1,0,0
03-09-2025,Telangana,Hyderabad,500023,12,4,0
03-09-2025,Telangana,Hyderabad,500028,13,1,0
03-09-2025,Telangana,Hyderabad,500033,1,0,0
03-09-2025,Telangana,Hyderabad,500034,5,2,3
03-09-2025,Telangana,Hyderabad,500040,4,0,0
03-09-2025,Telangana,Hyderabad,500045,4,1,0
03-09-2025,Telangana,Hyderabad,500049,1,1,0
03-09-2025,Telangana,Hyderabad,500053,25,11,0
03-09-2025,Telangana,Hyderabad,500058,1,1,0
03-09-2025,Telangana,Hyderabad,500062,4,1,0
03-09-2025,Telangana,Hyderabad,500064,17,4,0
03-09-2025,Telangana,Hyderabad,500072,1,1,0
02-09-2025,Telangana,Hyderabad,500004,1,0,0
02-09-2025,Telangana,Hyderabad,500013,7,1,0
02-09-2025,Telangana,Hyderabad,500017,4,0,0
02-09-2025,Telangana,Hyderabad,500025,1,2,0
02-09-2025,Telangana,Hyderabad,500026,1,0,0
02-09-2025,Telangana,Hyderabad,500036,4,3,0
02-09-2025,Telangana,Hyderabad,500045,4,3,0
02-09-2025,Telangana,Hyderabad,500050,2,0,0
02-09-2025,Telangana,Hyderabad,500059,10,3,0
01-09-2025,Telangana,Hyderabad,500004,2,5,0
01-09-2025,Telangana,Hyderabad,500033,2,0,0
01-09-2025,Telangana,Hyderabad,500042,1,0,0
01-09-2025,Telangana,Hyderabad,500062,1,0,0
01-09-2025,Telangana,Hyderabad,500095,1,0,0
06-09-2025,Telangana,Hyderabad,500016,1,0,0
06-09-2025,Telangana,Hyderabad,500017,2,0,0
06-09-2025,Telangana,Hyderabad,500024,0,0,1
06-09-2025,Telangana,Hyderabad,500029,0,0,2
06-09-2025,Telangana,Hyderabad,500078,1,0,0
06-09-2025,Telangana,Hyderabad,500094,1,0,0
05-09-2025,Telangana,Hyderabad,500008,5,5,0
05-09-2025,Telangana,Hyderabad,500028,1,0,1
05-09-2025,Telangana,Hyderabad,500029,0,0,1
05-09-2025,Telangana,Hyderabad,500033,0,1,0
05-09-2025,Telangana,Hyderabad,500044,1,0,0
05-09-2025,Telangana,Hyderabad,500045,2,0,0
04-09-2025,Telangana,Hyderabad,500005,15,4,0
04-09-2025,Telangana,Hyderabad,500013,5,0,0
04-09-2025,Telangana,Hyderabad,500016,1,1,0
04-09-2025,Telangana,Hyderabad,500024,5,2,0
04-09-2025,Telangana,Hyderabad,500026,3,0,0
04-09-2025,Telangana,Hyderabad,500038,1,0,0
04-09-2025,Telangana,Hyderabad,500040,1,0,0
09-09-2025,Telangana,Hyderabad,500034,7,0,0
09-09-2025,Telangana,Hyderabad,500049,3,0,0
09-09-2025,Telangana,Hyderabad,500082,1,0,0
08-09-2025,Telangana,Hyderabad,500049,0,1,0
08-09-2025,Telangana,Hyderabad,500007,1,0,0
08-09-2025,Telangana,Hyderabad,500016,1,0,0
08-09-2025,Telangana,Hyderabad,500029,3,0,0
08-09-2025,Telangana,Hyderabad,500038,2,0,0
10-09-2025,Telangana,Hyderabad,500006,12,2,0
10-09-2025,Telangana,Hyderabad,500020,4,3,0
10-09-2025,Telangana,Hyderabad,500025,1,0,0
10-09-2025,Telangana,Hyderabad,500026,4,0,0
10-09-2025,Telangana,Hyderabad,500028,4,2,0
10-09-2025,Telangana,Hyderabad,500049,2,0,0
10-09-2025,Telangana,Hyderabad,500050,1,0,0
10-09-2025,Telangana,Hyderabad,500053,18,4,0
10-09-2025,Telangana,Hyderabad,500054,2,0,0
10-09-2025,Telangana,Hyderabad,500056,2,3,0
10-09-2025,Telangana,Hyderabad,500059,9,2,0
10-09-2025,Telangana,Hyderabad,500062,5,0,0
10-09-2025,Telangana,Hyderabad,500064,17,3,0
10-09-2025,Telangana,Hyderabad,500067,1,2,0
10-09-2025,Telangana,Hyderabad,500072,2,0,0
11-09-2025,Telangana,Hyderabad,500003,3,1,0
11-09-2025,Telangana,Hyderabad,500005,7,1,0
11-09-2025,Telangana,Hyderabad,500008,14,4,0
11-09-2025,Telangana,Hyderabad,500011,1,2,0
11-09-2025,Telangana,Hyderabad,500013,8,1,0
11-09-2025,Telangana,Hyderabad,500024,3,0,0
11-09-2025,Telangana,Hyderabad,500025,1,0,0
11-09-2025,Telangana,Hyderabad,500028,6,5,0
11-09-2025,Telangana,Hyderabad,500040,2,0,0
11-09-2025,Telangana,Hyderabad,500061,4,0,0
11-09-2025,Telangana,Hyderabad,500062,4,1,0
11-09-2025,Telangana,Hyderabad,500065,9,2,0
11-09-2025,Telangana,Hyderabad,500067,5,2,0
13-09-2025,Telangana,Hyderabad,500015,3,2,0
13-09-2025,Telangana,Hyderabad,500031,1,2,0
13-09-2025,Telangana,Hyderabad,500034,5,0,0
13-09-2025,Telangana,Hyderabad,500042,1,0,0
13-09-2025,Telangana,Hyderabad,500056,3,0,0
13-09-2025,Telangana,Hyderabad,500062,6,2,0
12-09-2025,Telangana,Hyderabad,500002,5,6,0
12-09-2025,Telangana,Hyderabad,500005,13,3,0
12-09-2025,Telangana,Hyderabad,500006,10,4,0
12-09-2025,Telangana,Hyderabad,500008,11,10,0
12-09-2025,Telangana,Hyderabad,500016,2,0,0
12-09-2025,Telangana,Hyderabad,500018,4,2,0
12-09-2025,Telangana,Hyderabad,500028,7,2,1
12-09-2025,Telangana,Hyderabad,500036,6,4,0
12-09-2025,Telangana,Hyderabad,500040,6,1,0
12-09-2025,Telangana,Hyderabad,500049,0,1,0
12-09-2025,Telangana,Hyderabad,500056,3,1,0
12-09-2025,Telangana,Hyderabad,500062,5,0,0
12-09-2025,Telangana,Hyderabad,500064,8,0,0
12-09-2025,Telangana,Hyderabad,500073,1,0,0
12-09-2025,Telangana,Hyderabad,500094,1,2,0
16-09-2025,Telangana,Hyderabad,500005,11,2,0
16-09-2025,Telangana,Hyderabad,500006,6,1,0
16-09-2025,Telangana,Hyderabad,500009,2,1,0
16-09-2025,Telangana,Hyderabad,500024,2,1,0
16-09-2025,Telangana,Hyderabad,500027,1,2,0
16-09-2025,Telangana,Hyderabad,500044,1,0,0
16-09-2025,Telangana,Hyderabad,500045,7,0,0
16-09-2025,Telangana,Hyderabad,500049,1,0,0
16-09-2025,Telangana,Hyderabad,500056,0,1,0
16-09-2025,Telangana,Hyderabad,500058,1,0,0
16-09-2025,Telangana,Hyderabad,500059,13,5,0
16-09-2025,Telangana,Hyderabad,500065,1,1,0
16-09-2025,Telangana,Hyderabad,500067,1,0,0
15-09-2025,Telangana,Hyderabad,500004,3,0,0
15-09-2025,Telangana,Hyderabad,500007,1,0,0
15-09-2025,Telangana,Hyderabad,500024,1,3,0
